name,city,state,identifier,rating,address,latitude,longitude,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
,borrego springs,california,borrego springs,4,"630 Cahuilla Rd, Borrego Springs, Ca",33.264179,-116.377289,concrete,site design,california skateparks,,,,,,,,California Skateparks,http://californiaskateparks.com/skatepark-design-and-construction-portfolio/?n=Borrego+Springs+Skate+Park&projectID=24,,4,"quartpipes, bowls, rails, metal coping"
blake davis skatepark,brawley,california,brawley,3,"Magnolia St & N 3rd St, Brawley, CA 92227",32.9850911,-115.5372061,concrete,purkiss rose,,2003,8am - 10pm,18000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/brawley-skatepark.html,,4,
,brea,california,brea,3,"Imperial Hwy & Berry St, Brea, CA 92821",33.9174441,-117.9069844,concrete,purkiss rose,,2000,7am - Dusk,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/brea-skatepark-orange-county-skateparks.html,,4,
,brentwood,california,brentwood,3,"198 Griffith Ln Brentwood, CA 94513",37.9279799,-121.7065921,concrete,,,,9am - Dusk,18000,,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/20188-brentwood-skatepark-brentwood-california-usa,,4,
,brisbane,california,brisbane,1,"Park Ln & Old County Rd, Brisbane, CA 94005",37.685302,-122.402079,wood/masonite & prefabricated ramps,,,,,,,,,,,,,2,"miniramp, rail"
,buena park,california,buena park,2,"7725 El Dorado Dr, Buena Park, CA 90620",33.8484667,-118.0023878,concrete & prefabricated ramps,,,2003,8am - Dusk,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/buena-park-skatepark-orange-county-skateparks.html,,4,
,burbank,california,burbank,3,"1625 N Valley St, Burbank, CA 91505",34.178014,-118.3576631,concrete,,,,"Monday - Thursday: 4pm - 7pm, Friday: 4pm - 9pm, Saturday - Sunday: 10am - 5pm",11500,,This skatepark costs money to skate and a helmet/pads are required.,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=burbank,,4,
calexico nosotros saktepark,calexico,california,calexico,2,"Kloke Rd & Calexico St, Calexico, CA 92231",32.6736676,-115.5159682,prefabricated ramps,,,,,,,,,,,,,0,
pleasant valley skatepark,camarillo,california,camarillo,3,"1030 Temple Ave, Camarillo, CA 93010",34.228021,-119.0295301,concrete,wormhoudt inc.,,1998,Dawn - Dusk,12000,,This skatepark costs money to skate and a helmet/pads are required. There are designated BMX session times.,,,socalskateparks.com,http://www.socalskateparks.com/listing/camarillo-skatepark-ventura-skateparks.html,,4,
,cameron park,california,cameron park,3,"2380 Merrychase Dr, Cameron Park, CA 95682",38.656538,-121.007751,concrete,,,,Dawn - Dusk,,,,,,sk8parkatlas.com,http://www.sk8parkatlas.com/cameronpark.html,,4,
,camp pendleton,california,camp pendleton,2,"C St & 3rd St, Camp Pendleton North, CA 92055",33.3480451,-117.4119323,concrete,site design,,,Dawn - Dusk,4000,,,,,,,,4,
,campbell,california,campbell,1,"W Campbell Ave & Jeffers Way, Campbell, CA 95008",37.2871036,-121.9527672,prefabricated ramps,,,,,,,This skatepark costs money to skate and a helmet/pads are required.,,,,,,4,
lanark skatepark,canoga park,california,canoga park,3,"21816 Lanark St, Canoga Park, CA 91304",34.2170808,-118.6041281,concrete,new line skateparks,california skateparks,2015,,14000,,,,,Concrete Discples and California Skateparks,,,4,
,carlsbad,california,carlsbad,2,"2560 Orion Way, Carlsbad, CA 92010",33.1378479,-117.2652844,concrete,,,2001,8am - 10pm,15000,,This skatepark is located right next to a police station,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/carlsbad-skatepark-san-diego-skateparks.html,,4,
alga norte skatepark,carlsbad,california,carlsbad2,4,"6565 Alicante Rd, Carlsbad, CA 92009",33.1155454,-117.2631326,concrete,stantec,stantec,2014,,23000,,,,yes,,,,6,
,carson,california,carson,2,"22400 Moneta Ave, Carson, CA 90745",33.8233103,-118.2810759,concrete,purkiss rose,,2003,lights til 10pm,10000,,,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/carson-skatepark-los-angeles-skateparks.html,,4,
adobe park skatepark,castro valley,california,castro valley,1,"20395 San Miguel Ave, Castro Valley, CA 94546",37.6961132,-122.0809353,prefabricated ramps,,,,,,,,,,,,,3,
,castroville,california,castroville,2,"11261 Crane St, Castroville, CA 95012",36.767407,-121.755723,prefabricated ramps,,,,,,,,,,,,,4,
