name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
,borrego springs,california,borrego springs,4,"630 Cahuilla Rd, Borrego Springs, Ca",concrete,site design,california skateparks,,,,,,,,California Skateparks,http://californiaskateparks.com/skatepark-design-and-construction-portfolio/?n=Borrego+Springs+Skate+Park&projectID=24,,4,"quartpipes, bowls, rails, metal coping"
blake davis skatepark,brawley,california,brawley,3,"Magnolia St & N 3rd St, Brawley, CA 92227",concrete,purkiss rose,,2003,8am - 10pm,18000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/brawley-skatepark.html,,4,
,brea,california,brea,3,"Imperial Hwy & Berry St, Brea, CA 92821",concrete,purkiss rose,,2000,7am - Dusk,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/brea-skatepark-orange-county-skateparks.html,,4,
,brentwood,california,brentwood,3,"198 Griffith Ln Brentwood, CA 94513",concrete,,,,9am - Dusk,18000,,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/20188-brentwood-skatepark-brentwood-california-usa,,4,
,brisbane,california,brisbane,1,"Park Ln & Old County Rd, Brisbane, CA 94005",wood/masonite & prefabricated ramps,,,,,,,,,,,,,2,"miniramp, rail"
,buena park,california,buena park,2,"7725 El Dorado Dr, Buena Park, CA 90620",concrete & prefabricated ramps,,,2003,8am - Dusk,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/buena-park-skatepark-orange-county-skateparks.html,,4,
,burbank,california,burbank,3,"1625 N Valley St, Burbank, CA 91505",concrete,,,,"Monday - Thursday: 4pm - 7pm, Friday: 4pm - 9pm, Saturday - Sunday: 10am - 5pm",11500,,This skatepark costs money to skate and a helmet/pads are required.,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=burbank,,4,
calexico nosotros saktepark,calexico,california,calexico,2,"Kloke Rd & Calexico St, Calexico, CA 92231",prefabricated ramps,,,,,,,,,,,,,0,
pleasant valley skatepark,camarillo,california,camarillo,3,"1030 Temple Ave, Camarillo, CA 93010",concrete,wormhoudt inc.,,1998,Dawn - Dusk,12000,,This skatepark costs money to skate and a helmet/pads are required. There are designated BMX session times.,,,socalskateparks.com,http://www.socalskateparks.com/listing/camarillo-skatepark-ventura-skateparks.html,,4,
,cameron park,california,cameron park,3,"2380 Merrychase Dr, Cameron Park, CA 95682",concrete,,,,Dawn - Dusk,,,,,,sk8parkatlas.com,http://www.sk8parkatlas.com/cameronpark.html,,4,
,camp pendleton,california,camp pendleton,2,"C St & 3rd St, Camp Pendleton North, CA 92055",concrete,site design,,,Dawn - Dusk,4000,,,,,,,,4,
,campbell,california,campbell,1,"W Campbell Ave & Jeffers Way, Campbell, CA 95008",prefabricated ramps,,,,,,,This skatepark costs money to skate and a helmet/pads are required.,,,,,,4,
lanark skatepark,canoga park,california,canoga park,3,"21816 Lanark St, Canoga Park, CA 91304",concrete,new line skateparks,california skateparks,2015,,14000,,,,,Concrete Discples and California Skateparks,,,4,
,carlsbad,california,carlsbad,2,"2560 Orion Way, Carlsbad, CA 92010",concrete,,,2001,8am - 10pm,15000,,This skatepark is located right next to a police station,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/carlsbad-skatepark-san-diego-skateparks.html,,4,
alga norte skatepark,carlsbad,california,carlsbad2,4,"6565 Alicante Rd, Carlsbad, CA 92009",concrete,stantec,stantec,2014,,23000,,,,yes,,,,6,
,carson,california,carson,2,"22400 Moneta Ave, Carson, CA 90745",concrete,purkiss rose,,2003,lights til 10pm,10000,,,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/carson-skatepark-los-angeles-skateparks.html,,4,
adobe park skatepark,castro valley,california,castro valley,1,"20395 San Miguel Ave, Castro Valley, CA 94546",prefabricated ramps,,,,,,,,,,,,,3,
,castroville,california,castroville,2,"11261 Crane St, Castroville, CA 95012",prefabricated ramps,,,,,,,,,,,,,4,
,cayucos,california,cayucos,4,"55 Ocean Front Ave, Cayucos, CA 93430",wood/masonite & concrete,,,,,,,,,,northwestskater.com,http://www.northwestskater.com/cayucosca.html,,4,"wood/masonite ramp, metal coping, pool coping"
,ceres,california,ceres,3,"Moffett Rd & Fowler Rd, Ceres, CA 95307",concrete,,,,,16000,,,,,,,,5,
,cerritos,california,cerritos,2,"19900 Bloomfield Ave, Cerritos, CA 90703",concrete,purkiss rose,hondo company inc,2000,8am - Dusk Mon: 11am - Dusk,10000,,,,,,,,4,
the skate house,chatsworth,california,chatsworth,3,"9725 Variel Ave, Chatsworth, CA 91311",wood/masonite,,,,,13000,,,,,,,,4,
,chico,california,chico,2,"Humboldt Ave & Flume St, Chico, CA 95928",concrete,wormhoudt inc.,wormhoudt inc.,1999,,10000,,,,,,,,4,
ayala park,chino,california,chino,4,"Central Ave & Edison Ave, Chino, CA 91708",concrete,site design,california skateparks,2003,8am - 10pm,27624,,,,yes,northwestskater.com,http://www.northwestskater.com/chino.html,,4,
,chino hills,california,chino hills,3,"16333 Fairfield Ranch Rd, Chino Hills, CA 91709",concrete,purkiss rose/california skateparks,,2003,7am - Dusk,6000,,,,,northwestskater.com,http://www.northwestskater.com/chinohills.html,,4,
heritage park skate plaza,chula vista,california,chula vista,1,"1381 E Palomar St, Chula Vista, CA 91913",concrete,,,,Dawn - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/chula-vista-heritage-park-street-plaza-san-diego-skateparks.html,,4,"rails, ledges, stairs"
len moore skatepark,chula vista,california,chula vista2,3,"1301 Oleander Ave, Chula Vista, CA 91911",wood/masonite & concrete,purkiss rose,kf stratton,2003,,25000,,This is a private skatepark. It costs money and requires a helmet/pads to skate.,,yes,northwestskater.com,http://www.northwestskater.com/chulavistaLM.html,,4,
montevalle skate plaza,chula vista,california,chula vista3,1,"840 Duncan Ranch Rd, Chula Vista, CA 91914",concrete,,,,8am - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/chula-vista-montevalle-street-plaza-san-diego-skateparks.html,,4,
salt creek skate plaza,chula vista,california,chula vista4,2,"1234 N Creekside Dr, Chula Vista, CA 91915",concrete,,,,Dawn - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/chula-vista-salt-creek-street-plaza-san-diego.html,,4,
venetia skate plaza,chula vista,california,chula vista5,1,"1500 Magdalena Ave, Chula Vista, CA 91913",concrete,,,,8am - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/chula-vista-santa-venetia-street-plaza-san-diego-skateparks.html,,2,
veterans skate plaza,chula vista,california,chula vista6,2,"785 E Palomar St, Chula Vista, CA 91911",concrete,,,,8am - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/veterans-park-chula-vista-san-diego-skateparks.html,,4,
winding walk skate plaza,chula vista,california,chula vista7,2,"Windingwalk St & Exploration Falls Dr, Chula Vista, CA 91915",concrete,,,,8am - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=winding+walk,,4,
rusch skatepark,citrus heights,california,citrus heights,3,"7801 Auburn Blvd, Citrus Heights, CA 95610",concrete,california skateparks,california skateparks,,,9000,,,,,northwestskater.com,http://www.northwestskater.com/citrusheights.html,,4,
,claremont,california,claremont,2,"1717 N Indian Hill Blvd, Claremont, CA 91711",concrete,purkiss rose,,1998,6am - 10pm,6000,,,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/claremont-skatepark-los-angeles-skateparks.html,,4,
,clearlake,california,clearlake,2,"Uhl Ave & Austin Rd, Clearlake, CA 95422",prefabricated ramps,,,,,,,,,,,,,2,
,cloverdale,california,cloverdale,,,prefabricated ramps,,,,,,,,,,,,,,
letterman/rotary skatepark,clovis,california,clovis,4,"Villa Ave & W 9th St, Clovis, CA 93612",concrete,site design,,,8am - 9pm,27000,,,,yes,,,,4,
dateland park,coachella,california,coachella,2,"Medina St & Shady Ln, Coachella, CA 92236",prefabricated ramps,,,,,,,,,,,,,3,
wilson skatepark,compton,california,compton,3,"291 N Rose Ave, Compton, CA 90220",concrete,california skateparks,california skateparks,,,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/compton-skatepark-los-angeles-skateparks.html,,4,
,concord,california,concord,2,"Cowell Rd & San Miguel Rd, Concord, CA 94518",concrete,,,,,,,,,,,,,4,
,corning,california,corning,4,"1485 Toomes Ave, Corning, CA 96021",concrete,stantec,kendal construction,2013,,22000,,,,,,,,4,
corona city park,corona,california,corona,2,"1001 E 6th St, Corona, CA 92879",concrete,purkiss rose,,1999,7am - 10pm,10000,,,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/corona-city-skatepark-riverside-county-skateparks.html,,4,
deleo sports park,corona,california,corona6,2,"Santiago Canyon Rd & Sunflower Ln, Corona, CA 92883",concrete,spohn ranch,spohn ranch,2012,,4000,"listed as temescal skate spot, riverside on CD",,,yes,Spohn Ranch,http://www.spohnranch.com/portfolio/deleo-park-skatepark/,,4,"ledges, rail, gap, quarterpipe, fun box"
harada skatepark,corona (eastvale),california,corona2,3,"6757 Scholar Way, Corona, CA 92880",concrete,community works,california skateparks,,,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=harada,,6,
orchard skatepark,corona (eastvale),california,corona3,2,"5831 Sumner Ave, Corona, CA 92880",concrete,community works,california skateparks,,,13000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/eastvale-orchard-park-skatepark-riverside-county-skateparks.html,,4,
santana regional skatepark,corona,california,corona4,2,"2368 Kellogg Ave, Corona, CA 92881",concrete,purkiss rose,california skateparks,,,11000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/corona-santana-skatepark-riverside-county-skateparks.html,,4,
james huber skatepark,corona (eastvale),california,corona5,3,"6411 Rolling Meadow, St Corona, CA 92880",concrete,community works design group (bill wildenberg & scott rice),california skateparks,2005,,20000,also eastvale/jurupa,,,,socalskateparks.com,http://www.socalskateparks.com/listing/eastvale-huber-skatepark-riverside-county-skateparks.html,,4,"ledges, rails, pyramid, quarterpipes, bowl, metal coping"
,coronado,california,coronado,3,"2000 Mullinex Dr, Coronado, CA 92118",concrete,site design,california skateparks,2001,,20000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/coronado-skatepark-san-diego-skateparks.html,,4,
,corte madera,california,corte madera,1,"7 Pixley Ave, Corte Madera, CA 94925",prefabricated ramps,,,,,,,,,,,,,2,
volcom skatepark,costa mesa,california,costa mesa,4,"850 Arlington Dr, Costa Mesa, CA 92626",concrete,california skateparks,california skateparks,2005,"9am - 9pm, opens 3pm on Tuesdays",20000,,,,yes,northwestskater.com,http://www.northwestskater.com/costamesa.html,,4,
,crescent city,california,crescent city,2,"5Th St & E St, Crescent City, CA 95531",prefabricated ramps,,,,,,,,,,,,,2,
,cudahy,california,cudahy,1,"5240 Santa Ana St, Cudahy, CA 90201",prefabricated ramps,,,,,,,,,,,,,2,
,culver city,california,culver city,4,"9910 Jefferson Blvd, Culver City, CA 90232",concrete,site design,california skateparks,,"monday - friday: 12pm - Dusk, saturday & sunday: 9:30am - 4:30pm ",15000,,A helmet/pads are required to skate this park.,,,northwestskater.com,http://www.northwestskater.com/culvercity.html,,4,
cypress skate plaza,cypress,california,cypress,2,"4554 Avenida, Granada Cypress, CA 90630",concrete,purkiss rose,,2003,8am - Dusk,12000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/cypress-skate-plaza.html,,4,
,daly city,california,daly city,2,"Sullivan Ave & 92nd, St Daly City, CA 94015",prefabricated ramps,,,,,,,,,,,,,4,
,davis,california,davis,1,"1405 F St Davis, CA 95616",concrete,,,1993,,,,,,,,,,4,
,delano,california,delano,3,"Cecil Ave & Madison St, Delano, CA 93215",concrete,site design,,,Dawn - Dusk,23342,,,,,,,,4,
,delhi,california,delhi,1,"Shanks Rd & Schendel Ave, Delhi, CA 95315",prefabricated ramps,,,2006,,,,,,,,,,0,
,desert hot springs,california,desert hot springs,3,"West Dr & 1st St, Desert Hot Springs, CA 92240",concrete,lawrence r moss & associates,,2003,Dawn - Dusk,10000,,,,,northwestskater.com,http://www.northwestskater.com/deserthotsprings.html,,4,
,diamond bar,california,diamond bar,3,"24142 Sylvan Glen Rd, Diamond Bar, CA 91765",concrete,purkiss rose,,,7am - Dusk,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=diamond+bar,,4,
,dixon,california,dixon,3,"Hall Park Dr & E Chestnut, St Dixon, CA 95620",concrete,,,,,,,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/20812-dixon-skatepark-dixon-california-usa,,4,
independence park,downey,california,downey,2,"12334 Bellflower Blvd, Downey, CA 90242",concrete,purkiss rose,,2002,,10000,,A helmet/pads are required to skate here.,,,,,,3,
pamela park,duarte,california,duarte,1,"2236 Goodall Ave, Duarte, CA 91010",prefabricated ramps,,,,,,,,,,,,,0,
,duarte,california,duarte2,3,"1401 Central Ave, Duarte, CA 91010",concrete,lawrence r moss & associates,california skateparks,,Dawn - Dusk,10000,,,,,northwestskater.com,http://www.northwestskater.com/duarte.html,,4,
emerald glen skatepark,dublin,california,dublin,2,"4201 Central Pkwy, Dublin, CA 94568",concrete,,,,Dawn - Dusk,,,,,,,,,3,
arnold park,edwards air force base,california,edwards air force base,,,concrete,,,,,,verify,,,,,,,,
kennedy skatepark,el cajon,california,el cajon,3,"1675 E Madison Ave, El Cajon, CA 92019",concrete,purkiss rose,,2002,"Mon-Fri: 4-9, Sat: 12-9, Sun: 12-7",11000,,This skatepark costs money to skate and requires a helmet/pads,,,socalskateparks.com,http://www.socalskateparks.com/listing/el-cajon-skatepark-san-diego-skateparks.html,,4,
renette skate plaza,el cajon,california,el cajon2,2,"935 Emerald Ave, El Cajon, CA 92020",concrete,,,,,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/el-cajon-renette-street-plaza-san-diego-skateparks.html,,4,
sidewinder skatepark,el centro,california,el centro,3,"N 6th St & Park Ave, El Centro, CA 92243",concrete,california skateparks,,2015,,30000,,,,,,,,4,
,el dorado hills,california,el dorado hills,1,"1021 Harvard Way, El Dorado Hills, CA 95762",prefabricated ramps,,,,,,,This skatepark costs money to skate and requires a helmet/pads,,yes,,,,1,
,el segundo,california,el segundo,2,"405 E Grand Ave, El Segundo, CA 90245",concrete,,,,,,,This skatepark has designated session times depending on whether you are over 18 years of age,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=el+segundo,,4,
derr-okamota park,elk grove,california,elk grove,3,"9550 Mainline Dr, Elk Grove, CA 95624",concrete,site design,,,,13300,,,,,,,,4,
wackford community center,elk grove,california,elk grove2,3,"9014 Bruceville Rd, Elk Grove, CA 95758",concrete,wormhoudt inc.,wormhoudt inc.,2004,8am - Dusk,11000,,,,,Concrete Disples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/19564-elk-grove-skate-park-elk-grove-california-usa,,4,
shasta community park,elk grove,california,elk grove3,2,"7407 Shasta Ave, Elk Grove, CA 95758",prefabricated ramps,,,,,,,,,,,,,1,
morse park,elk grove,california,elk grove4,2,"5540 Bellaterra Dr, Elk Grove, CA 95757",concrete,,,,,,,,,,,,,1,
magdalena ecke family ymca,encinitas,california,encinitas,4,"200 Saxony Rd, Encinitas, CA 92024",wood/masonite & concrete,california skateparks,california skateparks,,,37000,,This skatepark costs money to skate and requires a helmet/pads,,,,,,6,"vert ramp, bowls, ledges, rails, pyramids, banks, metal coping, pool coping"
leucadia oaks,encinitas,california,encinitas2,1,"1511 N Vulcan Ave, Encinitas, CA 92024",concrete,,,,,,,,,,,,,2,
community skatepark,encinitas,california,encinitas3,4,"425 Santa Fe Dr, Encinitas, CA 92024",concrete,stantec,,2014,,34000,,,,,,,,6,
pedlow,encino,california,encino,3,"17334 Victory Blvd, Encino, CA 91406",concrete,purkiss rose,california skateparks,2001,,20000,,,,,,,,4,
escondido sports center,escondido,california,escondido,3,"Entrance Dr & Casteneda Dr, Escondido, CA 92025",wood/masonite,,,,,22000,,This is a private skatepark that costs money to skate and requires a helmet/pads,,,,,,3,
,eureka,california,eureka,4,"1720 10th St, Eureka, CA 95501",concrete,wormhoudt inc.,,2010,,12000,,,,,,,,6,
allan witt rotary skatepark,fairfield,california,fairfield,3,"1900 Woolner Ave, Fairfield, CA 94533",concrete,,,,Dawn - Dusk,,,,,,,,,4,
travis air force base,fairfield,california,fairfield2,2,"Twin Peaks Dr & Fairchild Dr, Fairfield, CA 94535",prefabricated ramps,,,,,,,The skatepark is located on Twin Peaks Dr. north of the intersection with Fairchild across the street from some basketball courts,,yes,,,,1,"mini ramp, banks"
,fillmore,california,fillmore,3,"River St & C St, Fillmore, CA 93015",concrete,community works,california skateparks,,,12000,,,,,northwestskater.com,http://www.northwestskater.com/fillmore.html,,5,
maldonado skatepark,firebaugh,california,firebaugh,3,"Clyde Fannon Rd & Thomas Conboy Ave, Firebaugh, CA 93622",concrete,wormhoudt inc.,clark bros construction inc,2008,,14000,cost $767000,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/24552-maldonado-skate-park-firebaugh-california-usa,,4,
mathy bethune skatepark,florence,california,florence,2,"Hooper Ave & E 62nd St, Florence-Graham, CA 90001",prefabricated ramps,,,,,,,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/southern-california/20889-mathy-bethune-skate-park-florence-california-usa,,4,
cummings skatepark,folsom,california,folsom,3,"1775 Creekside Dr, Folsom, CA 95630-3457",concrete,wormhoudt inc.,,2003,,21000,,This skatepark costs money to skate and requires a helmet/pads,,yes,northwestskater.com,http://www.northwestskater.com/folsom.html,,4,
jesse turner skatepark (fontana north),fontana,california,fontana,4,"5553 Lytle Creek Rd, Fontana, CA 92336",concrete,site design,california skateparks,,,20000,,"This skatepark costs money to skate, may require a helmet/pads, and has designated session times, including designated BMX sessions",,yes,northwestskater.com,http://www.northwestskater.com/fontanaN.html,,6,
juniper community center (fontana south),fontana,california,fontana2,3,"9520 Juniper Ave, Fontana, CA 92336",concrete,california skateparks,california skateparks,2002,"Mon - Fri: 12pm - 9pm, Sat & Sun: 9am - 9pm",26000,,,,yes,northwestskater.com,http://www.northwestskater.com/fontana.html,,4,
,foster city,california,foster city,3,"670 Shell Blvd, Foster City, CA 94404",concrete,wormhoudt inc.,,2009,9am - Dusk,7000,,,,,,,,4,
,frazier park,california,frazier park,1,"4001 Frazier Mountain Park Rd, Frazier Park, CA 93225",prefabricated ramps,,,,,,,,,,,,,1,
,fremont,california,fremont,4,"40000 Paseo Padre Pkwy, Fremont, CA 94538",concrete,wormhoudt inc.,,2013,Dawn - Dusk or 8pm,25000,,,,,,,,6,
cary ramp park,fresno,california,fresno,1,"4750 N Fresno St, Fresno, CA 93726",prefabricated ramps,,,,Dawn - Dusk,,,,,,,,,0,
kaiser ramp park,fresno,california,fresno2,2,"425 E Alluvial Ave, Fresno, CA 93720",prefabricated ramps,,,,Dawn - Dusk,,,,,,,,,2,
lion's den skatepark,fresno,california,fresno3,3,"N Emerson Ave & W Indianapolis Ave, Fresno, CA 93705",concrete,site design,,2002,8am-10pm,30000,2002,,,yes,,,,4,
melody ramp park,fresno,california,fresno4,2,"5935 E Shields Ave, Fresno, CA 93727",prefabricated ramps,,,,Dawn - Dusk,,,,,,,,,0,
mosqueda bike park,fresno,california,fresno5,,"E Butler Ave & S Maple Ave Fresno, CA 93702",concrete,wormhoudt inc.,,2009,,30000,,"This is BMX only park, let's start a revolution and get Fresno to allow skateboards ",,,,,,1,
romain ramp park,fresno,california,fresno6,1,"745 N 1St St Fresno, CA 93701",prefabricated ramps,,,,Dawn - Dusk,,,,,,,,,1,
the ark,fresno,california,fresno7,3,"1980 W North Ave, Fresno, CA 93706",wood/masonite,,,,Dawn - Dusk,,,Home to one of the few vert ramps in Cali,,,,,,1,vert ramp
todd beamer skatepark,fresno,california,fresno8,3,"N Maple Ave & E Plymouth Way, Fresno, CA 93720",concrete,wormhoudt inc.,california skateparks,2010,,11000,,,,,,,,4,
independence park,fullerton,california,fullerton,3,"801 W Valencia Dr, Fullerton, CA 92832",concrete,purkiss rose,,,9am - Dusk,12000,,,,,,,,4,
,galt,california,galt,1,"620 Chabolla Ave, Galt, CA 95632",prefabricated ramps,,,,,,,,,yes,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/20886-galt-skate-park-galt-california-usa,,2,
,garden grove,california,garden grove,2,"13641 Deodara Dr, Garden Grove, CA 92844",concrete,,,2010,6am - 11pm,,lights cost $95000,,,yes,northwestskater.com,http://www.northwestskater.com/gardengrove.html,,2,
arthur lee johnson memorial park,gardena,california,gardena,2,"W 170th St & S Park Ln, Gardena, CA 90247",concrete,spohn ranch,spohn ranch,2012,Dawn - Dusk,7000,,,,,Spohn Ranch,http://www.spohnranch.com/portfolio/arthur-johnson-skatepark-2/,,4,
rowley park,gardena,california,gardena2,2,"Haas Ave & 132nd St, Gardena, CA 90249",concrete,spohn ranch,spohn ranch,2012,,8000,,,,,Spohn Ranch,http://www.spohnranch.com/portfolio/rowley-park-skatepark/,,4,
,gilroy,california,gilroy,2,"510 Mantelli Dr Gilroy, CA 95020",concrete,,,,7am - Dusk,,,This skatepark has designated session times for BMX,,,northwestskater.com,http://www.northwestskater.com/gilroy.html,,4,
verdugo park,glendale,california,glendale,4,"1621 Canada Blvd Glendale, CA 91208",concrete,,,,,1500,,This skatepark costs money to skate and requires a helmet/pads,,yes,northwestskater.com,http://www.northwestskater.com/glendale.html,,4,
,glendora,california,glendora,3,"160 Wabash N Ave Glendora, CA",concrete,lawrence r moss & associates,california skateparks,,,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/glendora-skatepark-los-angeles-skateparks.html,,4,
,gonzales,california,gonzales,1,"Elko St & Fairview Dr, CA 93926",prefabricated ramps,,,,,,,,,,,,,2,
condon park,grass valley,california,grass valley,3,"660 Minnie St, Grass Valley, CA 95945",concrete,wormhoudt inc.,wormhoudt inc.,2001,9am - Dusk,23000,,Wednesdays 9am - 11am and Sundays 9am - 12pm are reserved for kids 10 and under,,,northwestskater.com,http://www.northwestskater.com/grassvalley.html,,4,
