name,city,state,rating,designer,builder,opened,address,hours,size,notes,helmet
Letterman Skatepark,Clovis,CA,,Site Design,,,Villa Ave & W 9th St Clovis CA 93612,8am-9pm,27000,lights,
Dateland Park,Coachella,CA,,Prefab,Prefab,8/6/2008,Medina St & Shady Ln Coachella CA 92236,,,,
Wilson Skatepark,Compton,CA,,California Skateparks,California Skateparks,,123 North Rose Ave. Compton CA 90220,,10000,,
,Concord,CA,,,,,Cowell Rd & San Miguel Rd Concord CA 94518,,,,
Corona City Park,Corona,CA,,Purkiss Rose,,1999,930 E 6th St Corona CA 92879,7am - 10pm,10000,lights,
Huber Skatepark,Corona,CA,,Community Works Design Group (Bill Wildenberg and Scott Rice),,2005,Rolling Meadow St & Northfork Dr Corona CA 92880,Sunrise - 10pm,20000,lights,
Harada Skatepark,Corona,CA,,Community Works,California Skateparks,,13100 65th St. Cleveland Ave. Corona CA,,10000,,
Orchard Skatepark,Corona,CA,,Community Works,California Skateparks,,5900 Festival Way Corona CA 92880,,13000,,
Santa Regional Skatepark,Corona,CA,,Purkiss Rose,California Skateparks,,598 Santana Way Corona CA 92881,,11000,,
,Coronado,CA,,Site Design,,2001,2000 Mullinex Drive Coronado CA 92118,,16000,,
,Coronado,CA,,Site Design,California Skateparks,,2000 Mullinex Dr. Coronado CA,,20000,,
,Corte Madera,CA,1,Prefab,Prefab,,,,,crap,
Volcom Skatepark,Costa Mesa,CA,,Purkiss Rose,,2005,970 Arlington Dr Costa Mesa CA 92626,9am -9pm closed Tuesdays 9am-3pm,20000,lights,
Volcom Skatepark,Costa Mesa,CA,,California Skateparks,California Skateparks,,970 Arlington Dr. Costa Mesa CA,,22000,,
,Crescent City,CA,1,Prefab,Prefab,,5th St & E St Crescent City CA 95531,,,,
,Cudahy,CA,1,Prefab,Prefab,,5240 Santa Ana St Cudahy CA 90201,,,,
,Culver City,CA,,Site Design,California Skateparks,10/27/2007,9910 Jefferson Blvd. Culver City Ca 90232,Monday through Friday – 12:00 p.m. to Sunset Saturday and Sunday – 9:30 a.m. to 4:30 p.m.,15000,,yes
,Cypress,CA,,Purkiss Rose,,2003,4554 Avenida Granada Cypress CA 90630,8am - Sunset,12000,skate plaza,
