name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,beta,helmet,lights,photo_cred,video_url,num_pics,obstacles
alameda skatepark,alameda,california,alameda,2,"1101 w red line ave, alameda, cA 94501",concrete,community effort,community effort,,,15000,,,,,,,5,
,american canyon,california,american canyon,2,"298 benton way, american canyon,, cA 94503",prefabricated ramps,,,,"When school is out: - 8am - Dusk, When school is in session: Monday, Tuesday, Thursday, Friday: 3:15pm - Dusk, Wednesday: 1:30pm - Dusk",13000,,,,,,,2,
anaheim west,anaheim,california,anaheim,2,"2271 w crescent ave, anaheim,, cA 92801",concrete,purkiss rose,,2002,,10000,,,,,,,4,
downtown skate zone,anaheim,california,anaheim2,2,"e broadway & s olive st, anaheim, cA 92805",prefabricated ramps,,,,,2000,,,,,,,2,
south volante skatepark,anderson,california,anderson,3,"1887 howard st, anderson, cA 96007",concrete,,,,,13000,,,,,,,4,
,antioch,california,antioch,2,"4701 lone tree way, antioch, cA 94531",concrete,,,,,15000,,,,,,,4,
3 diamonds skatepark,apple valley,california,apple valley,2,"13467 navajo rd, apple valley, cA 92308",concrete,,,,,,,,,,northwestskater.com,,4,
bonita skatepark,arcadia,california,arcadia,2,"207 bonita st, arcadia, cA 91006",concrete,purkiss rose,,2003,Dawn - 10pm,10700,,,,,northwestskater.com,,4,"ledges, stairs, rails, pyramid, quarterpipes"
rampart,arcata,california,arcata,3,"700 s g st, arcata, cA 95521",wood/masonite,,,,,,,"This is a private, indoor skatepark. It costs money and requires a helmet/pads to skate.",,,,,4,
,arcata,california,arcata2,3,"sunset ave & jay st, arcata, cA 95521",concrete,,,,,,,,,,,,4,
,arvin,california,arvin,,,prefabricated ramps,,,,,,,,,,,,0,
a-town park,atascadero,california,atascadero,3,"5493 traffic way, atascadero, cA 93422",wood/masonite,,,,,,,"This is a private, indoor skatepark.  It costs money to skate and a helmet/pads are required",,,,,4,
osborn skatepark,atwater,california,atwater,2,"501 e bellevue rd, atwater, cA 95301",prefabricated ramps,,,,,,,,,,,,4,
,auburn,california,auburn,3,"855 pacific ave, auburn, cA 95603",concrete,,,,Dawn - Dusk,,,,,,northwestskater.com,,5,
,avalon,california,avalon,,,,,,,,,,,,,,,0,
,avenal,california,avenal,3,"703 s 4th ave, avenal, cA 93204",concrete,spohn ranch,,,,,,,,,,,3,
,azusa,california,azusa,3,"320 n orange pl, azusa, cA 91702",concrete,purkiss rose,,2002,,,,,,,,,4,
beach park,bakersfield,california,bakersfield,3,"21st st & oak st, bakersfield, cA 93301",concrete,,,,5am - 10pm,,,,,,,,5,
planz,bakersfield,california,bakersfield2,3,"1601 planz rd, bakersfield, cA 93304",concrete,spohn ranch,spohn ranch,2014,,7000,,,,,Spohn Ranch,,4,
kernside,bakersfield,california,bakersfield3,4,,concrete,,,,,,,This is a DIY skatepark,,,,,4,
,baldwin park,california,baldwin park,3,"15010 badillo st, baldwin park, cA 91706",concrete,purkiss rose,california skateparks,2003,,12000,,,,,,,4,
,banning,california,banning,3,"n san gorgonio ave & e george st, banning, cA 92220",prefabricated ramps,,,,,,,,,,,,4,
dana park skatepark,barstow,california,barstow,3,"840 barstow rd, barstow, cA 92311",concrete,mig/csp,california skateparks,,,12000,,,,,northwestskater.com,,4,
,bell,california,bell,2,"4357 gage ave, bell, cA 90201",prefabricated ramps,,,,,,,,,,Concrete Disciples,,4,
,bell gardens,california,bell gardens,3,"6641 florence pl, bell gardens ca",concrete,purkiss rose,california skateparks,,,,,,,,socalskateparks.com,,4,
caruthers park,bellflower,california,bellflower,2,"10500 e flora vista st, bellflower, cA 90706",concrete,purkiss rose,california skateparks,,,,,,,,northwestskater.com,,4,
highland skatepark,ben lomond,california,ben lomond,3,"8500 ca-9, ben lomond, cA 95006",concrete,wormhoudt,wormhoudt,,,4500,,,,,Wormhoudt Inc.,,4,
x-park,benicia,california,benicia,4,"rose dr & dempsey dr, benicia, cA 94510",concrete,wormhoudt,,2007,,20000,,,,,northwestskater.com,,6,
orkin/hsang memorial skatepark,berkeley,california,berkeley,3,"5th st & harrison st, berkeley, cA 94710",concrete,site design,,,8am - 9pm,18000,,,,yes,,,6,
sugarloaf skatepark,big bear lake,california,big bear lake,2,"44828 baldwin ln, big bear city, cA 92314",prefabricated ramps,,,,,,,,,,Concrete Disciples,,4,
town skatepark,big bear lake,california,big bear lake2,2,"40946 big bear blvd, big bear lake, cA 92315",prefabricated ramps,,,,,,,,yes,,Concrete Disciples,,4,
,biggs,california,biggs,1,"c st & 9th st, biggs, cA 95917",concrete,,,,,,,,,,,,0,
,bishop,california,bishop,2,"n main st & park st, bishop, cA 93514",concrete,,,,,,,,,,,,4,
mesa skatepark,bolinas,california,bolinas,3,"100 mesa rd, bolinas, cA 94924",concrete,,,,,,,,,,,,4,
,borrego springs,california,borrego springs,4,"630 cahuilla rd, borrego springs, cA ",concrete,site design,california skateparks,,,,,,,,California Skateparks,,4,"quartpipes, bowls, rails, metal coping"
blake davis skatepark,brawley,california,brawley,3,"magnolia st & n 3rd st, brawley, cA 92227",concrete,purkiss rose,,2003,8am - 10pm,18000,,,,,socalskateparks.com,,4,
,brea,california,brea,3,"imperial hwy & berry st, brea, cA 92821",concrete,purkiss rose,,2000,7am - Dusk,10000,,,,,socalskateparks.com,,4,
,brentwood,california,brentwood,3,"198 griffith ln brentwood, cA 94513",concrete,,,,9am - Dusk,18000,,,,,Concrete Disciples,,4,
,brisbane,california,brisbane,1,"park ln & old county rd, brisbane, cA 94005",wood/masonite & prefabricated ramps,,,,,,,,,,,,2,"miniramp, rail"
