skatepark_id,city,state,address,latitude,longitude
74,corona,california,"1001 E 6th St, Corona, CA 92879",33.875132,-117.553639
75,corona,california,"2368 Kellogg Ave, Corona, CA 92881",33.852759,-117.557397
76,corona,california,"Santiago Canyon Rd & Sunflower Ln, Corona, CA 92883",33.743979,-117.463641
77,corona (eastvale),california,"6757 Scholar Way, Corona, CA 92880",33.966289,-117.568088
78,corona (eastvale),california,"5831 Sumner Ave, Corona, CA 92880",33.982273,-117.576433
79,corona (eastvale),california,"6411 Rolling Meadow, St Corona, CA 92880",33.971583,-117.590826
80,coronado,california,"2000 Mullinex Dr, Coronado, CA 92118",32.690432,-117.165478
81,corte madera,california,"28 Pixley Ave, Corte Madera, CA 94925",37.926479,-122.525739
82,costa mesa,california,"850 Arlington Dr, Costa Mesa, CA 92626",33.669629,-117.894328
83,crescent city,california,"5Th St & E St, Crescent City, CA 95531",41.752361,-124.202045
84,cudahy,california,"5240 Santa Ana St, Cudahy, CA 90201",33.958736,-118.174882
85,culver city,california,"9910 Jefferson Blvd, Culver City, CA 90232",34.015498,-118.388085
86,cypress,california,"4554 Avenida, Granada Cypress, CA 90630",33.817444,-118.052914
87,daly city,california,"179 92nd, St Daly City, CA 94015",37.689956,-122.47197
88,davis,california,"1933 F St, Davis, CA 95616",38.559406,-121.746585
89,delano,california,"1347 Cecil Ave, Delano, CA 93215",35.776284,-119.241433
90,delhi,california,"9363 Shanks Rd, Delhi, CA 95315",37.425365,-120.78666
91,desert hot springs,california,"11777 West Dr, Desert Hot Springs, CA 92240",33.962466,-116.510524
92,desert hot springs,california,"59651 Pierson Blvd, Desert Hot Springs, CA 92240",33.96754,-116.620338
93,diamond bar,california,"24142 Sylvan Glen Rd, Diamond Bar, CA 91765",34.029393,-117.793502
94,dixon,california,"Hall Park Dr & E Chestnut, St Dixon, CA 95620",38.441122,-121.818379
95,downey,california,"12410 Bellflower Blvd, Downey, CA 90242",33.919227,-118.124954
96,duarte,california,"2236 Goodall Ave, Duarte, CA 91010",34.122915,-117.994005
97,duarte,california,"1401 Central Ave, Duarte, CA 91010",34.136238,-117.973941
98,dublin,california,"Gleason Dr & Creekview Dr, Dublin, CA 94568",37.711764,-121.876686
99,edwards air force base,california,,,
100,el cajon,california,"500 N 4th St, El Cajon, CA 92019",32.799,-116.918425
101,el cajon,california,"935 Emerald Ave, El Cajon, CA 92020",32.783201,-116.967526
102,el centro,california,"N 6th St & Park Ave, El Centro, CA 92243",32.796249,-115.557697
103,el dorado hills,california,"1021 Harvard Way, El Dorado Hills, CA 95762",38.684474,-121.075611
104,el segundo,california,"405 E Grand Ave, El Segundo, CA 90245",33.919647,-118.412513
105,elk grove,california,"9550 Mainline Dr, Elk Grove, CA 95624",38.401979,-121.341269
106,elk grove,california,"9014 Bruceville Rd, Elk Grove, CA 95758",38.429974,-121.4195
107,elk grove,california,"7407 Shasta Ave, Elk Grove, CA 95758",38.450902,-121.414822
108,elk grove,california,"5540 Bellaterra Dr, Elk Grove, CA 95757",38.399091,-121.436443
109,emeryville,california,"4327 San Pablo Ave, Emeryville, CA 94608",37.833133,-122.281422
110,encinitas,california,"200 Saxony Rd, Encinitas, CA 92024",33.053184,-117.287682
111,encinitas,california,"1511 N Vulcan Ave, Encinitas, CA 92024",33.073859,-117.304588
112,encinitas,california,"425 Santa Fe Dr, Encinitas, CA 92024",33.03393,-117.282667
113,encino,california,"17334 Victory Blvd, Encino, CA 91406",34.186052,-118.511714
114,escondido,california,"Entrance Dr & Casteneda Dr, Escondido, CA 92025",33.077267,-117.059357
115,eureka,california,"1720 10th St, Eureka, CA 95501",40.800071,-124.152597
116,fairfield,california,"1900 Woolner Ave, Fairfield, CA 94533",38.246682,-122.062848
117,fairfield,california,"Twin Peaks Dr & Fairchild Dr, Fairfield, CA 94535",38.278305,-121.950832
118,fillmore,california,"River St & C St, Fillmore, CA 93015",34.392802,-118.927305
119,firebaugh,california,"1777 Thomas Conboy Ave, Firebaugh, CA 93622",36.86863,-120.461765
120,florence,california,"Hooper Ave & E 62nd St, Florence-Graham, CA 90001",33.983102,-118.25253
121,folsom,california,"1775 Creekside Dr, Folsom, CA 95630-3457",38.672745,-121.137732
122,fontana,california,"5553 Lytle Creek Rd, Fontana, CA 92336",34.153562,-117.466002
123,fontana,california,"9520 Juniper Ave, Fontana, CA 92336",34.080821,-117.440489
124,foster city,california,"670 Shell Blvd, Foster City, CA 94404",37.556264,-122.268521
125,frazier park,california,"3801 Park Dr, Frazier Park, CA 93225",34.820404,-118.951836
126,fremont,california,"40500 Paseo Padre Pkwy, Fremont, CA 94538",37.543713,-121.961383
127,fresno,california,"4750 N Fresno St, Fresno, CA 93726",36.804666,-119.780922
128,fresno,california,"425 E Alluvial Ave, Fresno, CA 93720",36.844348,-119.779063
129,fresno,california,"4428 N Marks Ave, Fresno, CA 93705",36.801612,-119.843584
130,fresno,california,"5935 E Shields Ave, Fresno, CA 93727",36.779997,-119.684717
131,fresno,california,"4670 E Butler Ave, Fresno, CA 93702",36.726992,-119.742564
132,fresno,california,"N Orchard St & E Thomas Ave, Fresno, CA 93701",36.752766,-119.775
133,fresno,california,"1980 W North Ave, Fresno, CA 93706",36.694903,-119.835363
134,fresno,california,"N Maple Ave & E Plymouth Way, Fresno, CA 93720",36.878042,-119.747363
135,fullerton,california,"801 W Valencia Dr, Fullerton, CA 92832",33.867974,-117.938405
136,galt,california,"620 Chabolla Ave, Galt, CA 95632",38.250273,-121.298491
137,garden grove,california,"13641 Deodara Dr, Garden Grove, CA 92844",33.763375,-117.966903
138,gardena,california,"W 170th St & S Park Ln, Gardena, CA 90247",33.876336,-118.296167
139,gardena,california,"Haas Ave & 132nd St, Gardena, CA 90249",33.912449,-118.31666
140,gilroy,california,"510 Mantelli Dr, Gilroy, CA 95020",37.022981,-121.585216
141,glendale,california,"1621 Canada Blvd, Glendale, CA 91208",34.16972,-118.230057
142,glendora,california,"160 Wabash N Ave Glendora, CA",34.137617,-117.861174
143,gonzales,california,"Elko St & Fairview Dr, CA 93926",36.506744,-121.439698
144,grass valley,california,"660 Minnie St, Grass Valley, CA 95945",39.216638,-121.074782
145,greenfield,california,"Spark St & 13th St Greenfield, CA 93927",36.311116,-121.257495
146,gridley,california,"Washington St & Spruce St Gridley, CA 95948",39.365911,-121.695085
147,groveland,california,"18818 Main St, Groveland, CA 95321",37.840967,-120.226392
148,grover beach,california,"1750 Ramona Ave, Grover Beach, CA 93433",35.121758,-120.610048
149,hanford,california,"421 Ford St, Hanford, CA 93230",36.328775,-119.651471
150,hawaiian gardens,california,"22008 Clarkdale Ave, Hawaiian Gardens, CA 90716",33.827828,-118.079691
151,hawthorne,california,"12100 Inglewood Ave, Hawthorne, CA 90250",33.922864,-118.360869
152,hayward,california,"28146 Huntwood Ave, Hayward, CA 94544",37.632538,-122.064857
153,hayward,california,"22652 Burbank St, Hayward, CA 94541",37.665857,-122.096466
154,healdsburg,california,"1100 Grove St Healdsburg, CA 95448",38.623071,-122.875407
155,hermosa beach,california,"Ardmore Ave & Pier Ave, Hermosa Beach, CA 90254",33.864465,-118.394733
156,hollister,california,"1221 Memorial Dr, Hollister, CA 95023",36.842654,-121.383934
157,huntington beach,california,"16820 Goldenwest St, Huntington Beach, CA 92647",33.717882,-118.00629
158,huntington beach,california,"7471 Center Ave, Huntington Beach, CA 92647",33.736049,-117.998441
159,idyllwild,california,"26375 CA-243, Idyllwild, CA 92549",33.741134,-116.719391
160,imperial beach,california,"425 Imperial Beach Blvd, Imperial Beach, CA 91932",32.575925,-117.123427
161,indio,california,,,
162,inglewood,california,"3400 W Arbor Vitae St, Inglewood, CA 90305",33.955151,-118.329511
163,inglewood,california,"400 West Beach Ave, Inglewood, CA 90302",33.968745,-118.360432
164,inglewood,california,"700 Warren Ln, Inglewood, CA 90302",33.972775,-118.345362
165,ione,california,"W Plymout Hwy & CA-124, Ione, CA 95640",38.34654,-120.930784
