name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,beta,helmet,lights,photo_cred,video_url,num_pics,obstacles
,camp pendleton,california,camp pendleton,2,c st & 3rd st camp pendleton north ca 92055,concrete,site design,,,Dawn - Dusk,4000,,,,,,,4,
,campbell,california,campbell,1,"w campbell ave & jeffers way, campbell ca 95008",prefabricated ramps,,,,,,,This skatepark costs money to skate and a helmet/pads are required.,,,,,4,
lanark skatepark,canoga park,california,canoga park,3,21816 lanark st canoga park ca 91304,concrete,new line skateparks,california skateparks,2015,,14000,,,,,Concrete Discples and California Skateparks,,4,
,carlsbad,california,carlsbad,2,2560 orion way carlsbad ca 92010,concrete,,,2001,8am - 10pm,15000,,This skatepark is located right next to a police station,,yes,socalskateparks.com,,4,
alga norte skatepark,carlsbad,california,carlsbad2,4,6565 alicante rd carlsbad ca 92009,concrete,stantec,stantec,2014,,23000,,,,yes,,,6,
,carson,california,carson,2,22400 moneta ave carson ca 90745,concrete,purkiss rose,,2003,lights til 10pm,10000,,,,yes,socalskateparks.com,,4,
adobe park skatepark,castro valley,california,castro valley,1,20395 san miguel ave castro valley ca 94546,prefabricated ramps,,,,,,,,,,,,3,
,castroville,california,castroville,,11261 crane st castroville ca 95012,prefabricated ramps,,,,,,,,,,,,,
,cayucos,california,cayucos,4,55 ocean front ave cayucos ca 93430,wood & concrete,,,,,,,,,,,,,"wood ramp, metal coping, pool coping"
,ceres,california,ceres,,moffett rd & fowler rd ceres ca 95307,concrete,,,,,16000,,,,,,,,
,cerritos,california,cerritos,,19900 bloomfield ave cerritos ca 90703,concrete,purkiss rose,hondo company inc ,2000,8am - Dusk Mon: 11am - Dusk,10000,cost $316724,,,,,,,
the skate house,chatsworth,california,chatsworth,,9725 variel ave chatsworth ca 91311,wood,,,,,13000,,,,,,,,
,chico,california,chico,,humboldt ave & flume st chico ca 95928,concrete,,,,,10000,,,,,,,,
ayala park,chino,california,chino,,central ave & edison ave chino ca 91708,concrete,site design,california skateparks,2003,8am - 10pm,27624,,,,yes,,,,
,chino hills,california,chino hills,,16333 fairfield ranch rd chino hills ca 91709,concrete,purkiss rose/california skateparks,,2003,7am - Dusk,6000,,,,,,,,
heritage park skate plaza,chula vista,california,chula vista,1,1381 e palomar st chula vista ca 91913,concrete,,,,Dawn - Dusk,,,,,,,,,"rails, ledges, stairs"
len moore skatepark,chula vista,california,chula vista2,,1301 oleander ave chula vista ca 91911,concrete,purkiss rose,kf stratton,2003,,25000,,"This is a private, indoor skatepark. It costs money and requires a helmet/pads to skate.",,yes,,,,
montevalle skate plaza,chula vista,california,chula vista3,,840 duncan ranch rd chula vista ca 91914,concrete,,,,8am - Dusk,,,,,,,,,
salt creek skate plaza,chula vista,california,chula vista4,,1234 n creekside dr chula vista ca 91915,concrete,,,,Dawn - Dusk,,,,,,,,,
venetia skate plaza,chula vista,california,chula vista5,,1500 magdalena ave chula vista ca 91913,concrete,,,,8am - Dusk,,,,,,,,,
